word1,word2
lonely,alone
alone.lonely
insane,crazy
stressful,frustrating
stressed,frustrated
frustrating,stressful
frustrated,stressed
mad,angry
problem,issue
problems,issues
issue,problem
issues,problems
fight,argument
fights,arguments
texting,chatting
chatting,texting
basically,usually
usually,basically
type,kind
types,kinds
normal,usual
usually,always
normally,usually
usually,normally
seriously,really
correct,right
wrong,incorrect
guess,think
hope,wish
hoping,wishing
hoped,wished
hopes,wishes
wish,hope
wishes,hopes
wished,hoped
wishing,hoping
suppose,guess
suppose,think
think,feel
thinking,feeling
always,usually
worst,bad
wierd,strange
strange,weird
fine,good
suggestion,idea
suggestions,ideas
depressed,down
kids,children
kid,child
children,kids
child,kid
annoyed,stressed
annoying,stressful
