word,cmp_word
abuse,tough rough
agitate,upset mad stressed
annoy,frustrated irritated stressed
argue,stressed irritated frustrated stressed
awful,frustrated shocked
betray,dissapointed shocked bummed
blame,stressed depressed frustrated
bother,frustrated irritated frustrated
breakup,shocked devastated
bully,rough stressed frustrated
cheat,shocked upset frustrated bummed betrayed
conflict,frustrated upset irritated
cry,sad tough
criticize,shocked dissapointed hard
divorce,shocked devastated
fail,stressed
fight,frustrated
frustrate,stressed
hate,upset stressed frustrated bothered irritated
hopeless,grieving
hurt,tough stressed rough
ignore,upset lonely rejected
lie,upset betrayed
mad,upset irritated stressed frustrated
overthink,frustrated
overwhelm,frustrated
reject,lonely rough devastated
stress,frustrated upset
tear,devastated rough
unfair,upset hurt
upset,mad frustrated irritated stressed
useless,desperated hopeless
worthless,hopeless useless
drain,tough sad stressed
headache,tough hurt
sickness,tough hurt
seizure, tired exhausted
dump,desperated tough hurt upset shocked
lose, lonely hopeless devastated
lonely, sad lonesome
threaten, scary unsafe
fuck, upset hurt
